Time,Frequency
0.000179,22160.6648199446
0.000363,22471.91011235955
0.00054,22222.222222222223
0.000719,21680.216802168023
0.0009,21739.130434782604
0.001088,22408.963585434165
0.001268,22038.567493112943
0.001445,21563.342318059298
0.001631,22160.664819944584
0.0018160000000000001,19704.43349753693
0.0019920000000000003,17543.859649122798
0.0022220000000000005,19704.433497536942
0.0024480000000000005,21798.365122615796
0.0026280000000000006,19093.078758949876
0.0028150000000000007,19512.19512195123
0.0030470000000000007,22099.44751381216
0.0032250000000000004,17429.193899782127
0.0034090000000000006,17543.859649122798
0.0036840000000000006,19370.460048426143
0.003865000000000001,19138.755980861224
0.004097000000000001,21680.216802167997
0.004283000000000001,22038.567493112972
0.004466000000000001,21917.80821917809
0.004646000000000001,21680.216802167997
0.004831000000000001,21563.34231805931
0.005015000000000001,21680.216802168048
0.005202000000000001,21857.92349726776
0.005384000000000001,21505.376344086024
0.005568000000000001,21621.62162162164
0.005756000000000001,19464.720194647205
0.005938000000000001,19277.10843373492
0.006167000000000001,21333.333333333314
0.006353000000000001,19323.671497584528
0.006542000000000001,19370.460048426143
0.006767000000000001,21621.62162162164
0.006955000000000001,21680.216802168048
0.007137000000000001,21447.72117962466
0.007324000000000001,21563.34231805926
0.007510000000000001,21739.130434782594
0.007695000000000001,21798.365122615796
0.007878000000000001,21447.72117962466
0.008062000000000001,21390.37433155084
0.008251000000000001,21333.333333333412
0.008436,21390.37433155084
0.008626,21447.72117962466
0.00881,21739.130434782594
0.008999,19047.61904761904
0.009178,17278.61771058316
0.009419,19277.10843373492
0.009641,18957.34597156396
0.009834,19417.475728155296
0.010063,21447.72117962466
0.010246000000000002,20833.33333333339
0.010436,19138.755980861246
0.01063,15904.572564612326
0.010854,14336.917562724027
0.011133,15503.875968992275
0.011412,14159.292035398243
0.011649,13093.28968903436
0.011977,13245.033112582772
0.01226,12307.692307692316
0.012581,8908.685968819604
0.083067,8695.652173913004
0.24002500000000002,8188.331627430864
0.24058700000000002,8230.452674897115
0.2811520000000001,9615.384615384623
0.28156600000000015,9411.764705882775
0.31900800000000007,8830.022075055012
0.31958300000000006,9888.751545117379
0.6393070000000001,8163.265306122608
0.7390189999999996,10403.120936280618
0.7392959999999996,9400.705052878457
0.7397879999999997,13559.322033898778
0.7401469999999997,15748.031496064452
0.7403779999999996,14545.454545456147
0.7406549999999996,13333.333333334802
0.7409279999999996,10723.860589813577
0.7412549999999996,12326.65639445491
0.7416739999999995,15625.000000001315
0.7419039999999995,15414.258188823262
0.7421859999999995,19093.078758947227
0.7424229999999995,21621.621621622704
0.7426049999999995,21390.374331551633
0.7427929999999995,15748.03149606101
0.7429789999999995,15503.875968990085
0.7433009999999995,21220.159151189597
0.7434949999999996,17241.379310344088
0.7436779999999996,17021.276595745752
0.7439589999999996,21276.59574467842
0.7441479999999996,21447.72117962077
0.7443349999999996,18912.52955082464
0.7445209999999997,17021.276595741732
0.7447579999999997,17130.620985010883
0.7449909999999997,18779.342723007936
0.7452249999999997,19047.619047620137
0.7454169999999997,15779.09270216853
0.7456449999999997,14084.5070422532
0.7459239999999997,15355.086372361031
0.7462129999999997,15748.03149606101
0.7464449999999997,13071.895424835386
0.7467209999999997,9999.999999999714
0.7470569999999997,10582.010582010877
0.7475209999999998,12820.512820513684
0.7478129999999997,14388.48920863307
0.7481449999999997,14414.414414415138
0.7483689999999997,12030.07518797145
0.7486999999999997,10526.315789473922
0.7490339999999996,10554.089709762025
0.7494599999999997,10582.010582010877
0.7497919999999997,10113.780025284626
0.7502159999999997,10582.010582010877
0.7505829999999997,9324.009324009048
0.7509719999999996,8928.57142857135
0.7514409999999997,9445.10035419203
0.7518679999999996,8968.609865470813
1.0060679999999995,9501.18764845595
1.1993199999999988,9195.402298849005
1.3639129999999988,8849.557522123738
1.3645849999999988,19230.76923077053
1.3648169999999988,21621.621621622704
1.3650009999999988,18957.345971567465
1.3651869999999988,18957.345971567465
1.3654229999999987,21505.37634408377
1.3656089999999987,21108.17941951787
1.3657949999999988,21108.17941951787
1.3659879999999989,19370.460048426306
1.366173999999999,19277.10843373242
1.3664009999999989,21052.631578944765
1.366588999999999,21108.179419530235
1.366780999999999,21052.631578944765
1.3669679999999989,21333.333333332524
1.367160999999999,21621.621621622704
1.3673429999999989,21220.159151189597
1.367530999999999,21220.159151189597
1.367719999999999,21164.021164021753
1.367907999999999,18779.342723012833
1.368097999999999,19002.3752969119
1.3683339999999988,21447.721179614386
1.368518999999999,18912.52955082464
1.368706999999999,18867.924528302778
1.368941999999999,21447.721179627155
1.369130999999999,18957.345971567465
1.369314999999999,18604.651162793707
1.369552999999999,21164.021164021753
1.3697449999999989,21052.631578944765
1.369930999999999,21276.595744684702
1.370124999999999,21563.34231806516
1.3703069999999988,18735.362997660046
1.3704959999999988,18604.651162793707
1.3707339999999988,20887.728459528815
1.3709259999999988,17204.30107526291
1.3711169999999988,14388.48920863307
1.371390999999999,15414.258188826558
1.3716729999999988,18648.018648018096
1.3719099999999989,20997.375328085935
1.3721019999999988,21276.595744684702
1.3722909999999988,21220.159151202097
1.3724779999999988,21108.179419530235
1.3726679999999987,21220.159151189597
1.3728569999999987,21108.17941951787
1.3730449999999987,18823.529411759402
1.3732359999999988,18867.924528302778
1.3734699999999989,18691.588785052278
1.3736599999999988,19047.619047625172
1.3738979999999987,18823.52941176924
1.3740799999999986,18561.48491879048
1.3743229999999986,17316.017316010402
1.3745109999999987,14059.75395430477
1.3747849999999988,16701.461377874184
1.3750799999999987,21505.37634408377
1.3752639999999987,15122.873345935679
1.3754519999999988,12030.07518797145
1.3757929999999987,11477.761836442756
1.3761169999999987,10638.297872342351
1.3764899999999987,12121.212121214272
1.3768689999999986,12066.365007540018
1.3771499999999985,10582.01058200777
1.3775319999999986,10582.01058200777
1.3779059999999987,8800.880088008329
